City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Port Lincoln,AU,2021-10-28 18:38:01,-34.7333,135.8667,54.45,69,80,16.46
264,Nouakchott,MR,2021-10-28 18:35:44,18.0858,-15.9785,85.93,67,100,16.28
265,Dukat,RU,2021-10-28 18:39:21,62.55,155.55,12.56,85,100,7.02
266,Makakilo City,US,2021-10-28 18:39:21,21.3469,-158.0858,76.6,83,75,5.75
267,Iquitos,PE,2021-10-28 18:39:21,-3.7481,-73.2472,82.44,74,75,8.05
268,Lufilufi,WS,2021-10-28 18:39:22,-13.8745,-171.5986,80.38,75,73,21.45
269,Calama,CL,2021-10-28 18:39:22,-22.4667,-68.9333,75.69,10,0,23.02
270,Grand Gaube,MU,2021-10-28 18:39:22,-20.0064,57.6608,75.38,72,17,5.99
271,Bereda,ES,2021-10-28 18:39:23,43.2686,-7.5406,57.0,88,100,7.43
272,Jalu,LY,2021-10-28 18:39:23,29.0331,21.5482,76.28,38,16,4.27
273,Hualmay,PE,2021-10-28 18:39:23,-11.0964,-77.6139,68.83,72,47,10.4
274,Buala,SB,2021-10-28 18:39:24,-8.145,159.5921,80.74,82,70,4.52
275,Mahon,ES,2021-10-28 18:39:24,39.8885,4.2658,63.16,82,20,4.61
276,Oriximina,BR,2021-10-28 18:39:24,-1.7656,-55.8661,91.29,47,54,5.03
277,Flinders,AU,2021-10-28 18:39:24,-34.5833,150.8552,68.2,79,100,1.01
278,Berlevag,NO,2021-10-28 18:39:25,70.8578,29.0864,30.2,80,75,14.97
279,Zhangjiakou,CN,2021-10-28 18:39:25,40.81,114.8794,45.46,45,44,3.2
280,La Ronge,CA,2021-10-28 18:39:25,55.1001,-105.2842,46.65,49,1,6.91
281,Tabatinga,BR,2021-10-28 18:39:26,-4.2525,-69.9381,84.29,74,40,8.05
282,Mouila,GA,2021-10-28 18:39:26,-1.8685,11.0559,74.5,98,97,2.98
283,Tucuma,BR,2021-10-28 18:39:27,-0.1833,-50.05,86.43,59,82,6.98
284,Kuybysheve,UA,2021-10-28 18:39:27,47.358,36.6491,48.2,61,100,6.93
285,Conakry,GN,2021-10-28 18:39:27,9.538,-13.6773,82.47,83,75,4.61
286,Katobu,ID,2021-10-28 18:36:36,-4.9408,122.5276,75.69,92,92,2.55
287,Ozernovskiy,RU,2021-10-28 18:39:28,51.5,156.5167,41.9,84,99,5.66
288,Belaya Gora,RU,2021-10-28 18:39:28,68.5333,146.4167,0.55,94,100,2.15
289,Severodvinsk,RU,2021-10-28 18:39:28,64.5635,39.8302,17.71,84,100,8.05
290,Lima,PE,2021-10-28 18:39:28,-12.0432,-77.0282,67.39,54,75,1.99
291,Marsh Harbour,BS,2021-10-28 18:35:34,26.5412,-77.0636,83.82,70,73,14.14
